road_user_id,road_user_type,hostname,occurrence,frame_number,section_id,event_coordinate,event_type,direction_vector,video_name,OTCamera,Date,Time
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1167,bicyclist,otcamera29,2023-09-07 17:10:50.671910,13016,,"[316.08416748046875, 24.92424201965332]",leave-scene,"[-0.5601806640625, 0.06420707702636719]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#117,pedestrian,otcamera29,2023-09-07 17:01:05.092188,1303,,"[249.3725357055664, 94.91464233398438]",leave-scene,"[-0.20471954345703125, 0.2974510192871094]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1176,pedestrian,otcamera29,2023-09-07 17:11:09.169690,13386,,"[155.1332778930664, 0.5710945129394531]",leave-scene,"[1.4853363037109375, 0.0931396484375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1177,pedestrian,otcamera29,2023-09-07 17:10:58.720944,13177,,"[435.97283935546875, 56.51103401184082]",leave-scene,"[-2.3248291015625, 7.59184455871582]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1178,bicyclist,otcamera29,2023-09-07 17:10:57.121136,13145,,"[241.3160400390625, 3.591949462890625]",leave-scene,"[0.1775970458984375, 0.06353759765625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1179,pedestrian,otcamera29,2023-09-07 17:11:05.870086,13320,,"[158.29358673095703, 8.402667999267578]",leave-scene,"[0.08304595947265625, -1.04058837890625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1182,bicyclist,otcamera29,2023-09-07 17:10:54.671430,13096,,"[266.0140075683594, 0.01710033416748047]",leave-scene,"[-0.8091278076171875, -0.026892662048339844]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1184,bicyclist,otcamera29,2023-09-07 17:10:59.120896,13185,,"[257.1012420654297, 61.46324157714844]",leave-scene,"[5.622581481933594, 18.618255615234375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1185,pedestrian,otcamera29,2023-09-07 17:10:58.720944,13177,,"[461.6050720214844, 62.86864471435547]",leave-scene,"[-1.323150634765625, 0.4156494140625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1188,bus,otcamera29,2023-09-07 17:11:00.070782,13204,,"[498.94891357421875, 0.9745025634765625]",leave-scene,"[-0.209869384765625, -0.1248626708984375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1189,bicyclist,otcamera29,2023-09-07 17:11:02.470494,13252,,"[681.1482849121094, 383.80445861816406]",leave-scene,"[14.055511474609375, 7.6698150634765625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1190,pedestrian,otcamera29,2023-09-07 17:11:05.170170,13306,,"[161.00048828125, 0.05979633331298828]",leave-scene,"[0.03728485107421875, 0.0029468536376953125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1191,pedestrian,otcamera29,2023-09-07 17:10:58.970914,13182,,"[212.48602294921875, 55.371856689453125]",leave-scene,"[0.262054443359375, -0.2741851806640625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1192,pedestrian,otcamera29,2023-09-07 17:11:12.019348,13443,,"[182.92052459716797, 0.2632102966308594]",leave-scene,"[-2.089080810546875, -0.3581695556640625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1193,car,otcamera29,2023-09-07 17:11:05.570122,13314,,"[759.8796691894531, 210.64608764648438]",leave-scene,"[-0.39349365234375, -0.0698699951171875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1197,pedestrian,otcamera29,2023-09-07 17:11:24.817812,13699,,"[164.37252807617188, 0.02797698974609375]",leave-scene,"[0.39239501953125, -0.0223846435546875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#12,pedestrian,otcamera29,2023-09-07 17:00:03.899532,79,,"[611.37939453125, 76.74600219726562]",leave-scene,"[-0.909088134765625, -0.976409912109375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#120,pedestrian,otcamera29,2023-09-07 17:01:06.092068,1323,,"[525.12255859375, 340.169677734375]",leave-scene,"[-3.3629150390625, -0.4123382568359375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
